solicitud_id,month,riesgo_estimado,fraude_real,prioridad_mes,cupo_mes,revisar
902017,6,0.5877467740396504,1,1,5409,True
867255,6,0.5731572936994812,0,2,5409,True
850107,6,0.5339835916440941,1,3,5409,True
851343,6,0.5299930269391309,0,4,5409,True
805265,6,0.5055824691047199,0,5,5409,True
843983,6,0.477225053695205,1,6,5409,True
820365,6,0.4530164616901376,1,7,5409,True
848959,6,0.42567181969032625,0,8,5409,True
798071,6,0.4093587344079073,1,9,5409,True
795286,6,0.3953512393641503,0,10,5409,True
888383,6,0.3937574921274431,1,11,5409,True
830179,6,0.3907141266950079,0,12,5409,True
859057,6,0.3856542427701204,0,13,5409,True
816451,6,0.3832853594230879,0,14,5409,True
806770,6,0.38028439027719924,0,15,5409,True
851670,6,0.37962649489247,0,16,5409,True
831515,6,0.3696578514445172,0,17,5409,True
825373,6,0.3683995937262117,1,18,5409,True
901574,6,0.3625541457658596,1,19,5409,True
850502,6,0.35868272225088865,1,20,5409,True
892561,6,0.35581941416261087,0,21,5409,True
803200,6,0.354247840710447,1,22,5409,True
814134,6,0.3490965780994994,0,23,5409,True
884158,6,0.34870756312752915,1,24,5409,True
902521,6,0.3472374109887195,1,25,5409,True
801104,6,0.3461066862989882,0,26,5409,True
811332,6,0.3419598749262271,1,27,5409,True
892953,6,0.3361779832377114,0,28,5409,True
811718,6,0.33489878258521216,1,29,5409,True
853693,6,0.33220250120498623,1,30,5409,True
877354,6,0.3297715012086721,0,31,5409,True
843402,6,0.3293472422507881,0,32,5409,True
848027,6,0.32061007226895444,1,33,5409,True
832456,6,0.3180824239273483,0,34,5409,True
837938,6,0.31706858563917495,0,35,5409,True
809172,6,0.3161786036864547,0,36,5409,True
795793,6,0.3155399819009875,1,37,5409,True
806657,6,0.31505486741324007,0,38,5409,True
818326,6,0.31393824608713095,0,39,5409,True
897693,6,0.31144865543224465,1,40,5409,True
819751,6,0.31036719431205484,0,41,5409,True
894982,6,0.30929456412046774,0,42,5409,True
868480,6,0.308795033873143,1,43,5409,True
854644,6,0.3065741102827168,0,44,5409,True
860597,6,0.3057477197579908,0,45,5409,True
856982,6,0.3035801364486746,1,46,5409,True
871500,6,0.3026282591473803,0,47,5409,True
804595,6,0.30164743228132346,0,48,5409,True
834311,6,0.30107347505334714,1,49,5409,True
851113,6,0.30060753667869294,0,50,5409,True
892119,6,0.2999322072605476,1,51,5409,True
800296,6,0.29953756959203653,0,52,5409,True
799055,6,0.2993473747082076,1,53,5409,True
897617,6,0.2983542499990177,1,54,5409,True
900014,6,0.2973875076544432,0,55,5409,True
813920,6,0.2951542573218586,0,56,5409,True
812899,6,0.2925463840597929,1,57,5409,True
875368,6,0.2909718227347347,0,58,5409,True
864757,6,0.29020437413288663,1,59,5409,True
866589,6,0.289584086187831,1,60,5409,True
898062,6,0.288894650343164,1,61,5409,True
837067,6,0.28824438439894007,1,62,5409,True
851547,6,0.28788807977568875,0,63,5409,True
814559,6,0.2861514210942278,1,64,5409,True
828213,6,0.2852940978740909,1,65,5409,True
838983,6,0.2851574976472125,0,66,5409,True
891635,6,0.28338858789570087,1,67,5409,True
843778,6,0.28177328917025113,0,68,5409,True
842805,6,0.2815745995920417,1,69,5409,True
831200,6,0.28096175459166,1,70,5409,True
866293,6,0.28026233235650244,1,71,5409,True
841422,6,0.27786275191678583,0,72,5409,True
829440,6,0.2762476237450457,0,73,5409,True
868641,6,0.2761037757403533,1,74,5409,True
816551,6,0.27526866729834026,0,75,5409,True
842575,6,0.275204732711651,1,76,5409,True
886165,6,0.27441761203267073,0,77,5409,True
849317,6,0.2721448716058256,1,78,5409,True
891800,6,0.2694468970479635,1,79,5409,True
864693,6,0.26922033837380577,0,80,5409,True
869380,6,0.26907919115952683,1,81,5409,True
811617,6,0.2690292410259084,0,82,5409,True
850379,6,0.26901061161348955,0,83,5409,True
816642,6,0.26887712205058606,1,84,5409,True
797964,6,0.2682925300351358,1,85,5409,True
837649,6,0.2668589589209553,0,86,5409,True
877093,6,0.26621844238119385,0,87,5409,True
806370,6,0.2652887752589716,0,88,5409,True
844757,6,0.264600735479692,0,89,5409,True
896092,6,0.26286971405104165,0,90,5409,True
902361,6,0.2613111570019224,1,91,5409,True
804290,6,0.25983868856802744,0,92,5409,True
827245,6,0.25896970757320115,0,93,5409,True
897188,6,0.25721420215915297,0,94,5409,True
876054,6,0.25644072996240397,0,95,5409,True
878500,6,0.2563216705183192,0,96,5409,True
812108,6,0.25607021078263376,1,97,5409,True
871579,6,0.25588603340660016,1,98,5409,True
880298,6,0.2549930223009431,0,99,5409,True
797464,6,0.2530115475567308,0,100,5409,True
884551,6,0.25276504431014185,0,101,5409,True
819096,6,0.25249380372095276,1,102,5409,True
887908,6,0.2517611000356145,0,103,5409,True
823675,6,0.2515101995704761,0,104,5409,True
888869,6,0.2509034293139382,0,105,5409,True
882579,6,0.2505561397367061,1,106,5409,True
803259,6,0.2504266368142568,0,107,5409,True
849684,6,0.2497407341896296,0,108,5409,True
868681,6,0.24858890499785677,0,109,5409,True
808075,6,0.2484777695889082,1,110,5409,True
804561,6,0.24818636388084073,0,111,5409,True
865858,6,0.24768149059424927,0,112,5409,True
824859,6,0.24752740957069103,0,113,5409,True
899974,6,0.24670133876327055,1,114,5409,True
825563,6,0.2462739686981886,0,115,5409,True
855630,6,0.2462026675206574,1,116,5409,True
866314,6,0.24586153572124295,1,117,5409,True
823820,6,0.2442115359422937,0,118,5409,True
821455,6,0.24399364464131468,0,119,5409,True
896946,6,0.24369807381599795,0,120,5409,True
807069,6,0.24260937362608972,1,121,5409,True
846176,6,0.24210956169827488,0,122,5409,True
797944,6,0.2414746715437686,0,123,5409,True
847331,6,0.2414030546341606,0,124,5409,True
860274,6,0.2406577891409231,0,125,5409,True
851245,6,0.24022318329069492,0,126,5409,True
877532,6,0.23932768919477737,0,127,5409,True
896666,6,0.23901436160941023,1,128,5409,True
867261,6,0.23842491773232216,1,129,5409,True
848145,6,0.23800149034791201,0,130,5409,True
857045,6,0.2373465331173943,0,131,5409,True
838784,6,0.23701693034401378,0,132,5409,True
876995,6,0.23696927968684514,0,133,5409,True
874637,6,0.23664122091695108,0,134,5409,True
841834,6,0.23631176181424823,1,135,5409,True
866653,6,0.23491011486907404,0,136,5409,True
865358,6,0.2346532940166272,0,137,5409,True
830453,6,0.23444302787371754,1,138,5409,True
884598,6,0.2342375101928048,0,139,5409,True
853426,6,0.23389701693074558,0,140,5409,True
837231,6,0.23290733412308146,0,141,5409,True
811674,6,0.2320778559097797,0,142,5409,True
832873,6,0.23193670261276456,0,143,5409,True
799350,6,0.230514490383783,0,144,5409,True
893579,6,0.22994951888626486,0,145,5409,True
898422,6,0.22994387333869634,0,146,5409,True
813593,6,0.22966020791140154,0,147,5409,True
800981,6,0.22855529623388565,0,148,5409,True
882490,6,0.22845058667310375,1,149,5409,True
861695,6,0.22794785930054373,1,150,5409,True
886560,6,0.22778126808742274,0,151,5409,True
901836,6,0.2261091041539837,1,152,5409,True
797976,6,0.22602956390257933,1,153,5409,True
870432,6,0.22582318013867542,0,154,5409,True
822368,6,0.22537340693073782,0,155,5409,True
804400,6,0.22468384364851748,0,156,5409,True
839380,6,0.22310254859317738,1,157,5409,True
885449,6,0.22298449914152293,0,158,5409,True
858854,6,0.22288320972520365,0,159,5409,True
902919,6,0.2215227855056165,0,160,5409,True
878042,6,0.2209473244653109,1,161,5409,True
808891,6,0.22063508074592347,0,162,5409,True
857775,6,0.2203351810540989,1,163,5409,True
