solicitud_id,month,riesgo_estimado,prioridad_mes,accion
902017,6,0.5877467740396504,1,Revision adicional por analista; simulacion BAF
867255,6,0.5731572936994812,2,Revision adicional por analista; simulacion BAF
850107,6,0.5339835916440941,3,Revision adicional por analista; simulacion BAF
851343,6,0.5299930269391309,4,Revision adicional por analista; simulacion BAF
805265,6,0.5055824691047199,5,Revision adicional por analista; simulacion BAF
843983,6,0.477225053695205,6,Revision adicional por analista; simulacion BAF
820365,6,0.4530164616901376,7,Revision adicional por analista; simulacion BAF
848959,6,0.42567181969032625,8,Revision adicional por analista; simulacion BAF
798071,6,0.4093587344079073,9,Revision adicional por analista; simulacion BAF
795286,6,0.3953512393641503,10,Revision adicional por analista; simulacion BAF
888383,6,0.3937574921274431,11,Revision adicional por analista; simulacion BAF
830179,6,0.3907141266950079,12,Revision adicional por analista; simulacion BAF
859057,6,0.3856542427701204,13,Revision adicional por analista; simulacion BAF
816451,6,0.3832853594230879,14,Revision adicional por analista; simulacion BAF
806770,6,0.38028439027719924,15,Revision adicional por analista; simulacion BAF
851670,6,0.37962649489247,16,Revision adicional por analista; simulacion BAF
831515,6,0.3696578514445172,17,Revision adicional por analista; simulacion BAF
825373,6,0.3683995937262117,18,Revision adicional por analista; simulacion BAF
901574,6,0.3625541457658596,19,Revision adicional por analista; simulacion BAF
850502,6,0.35868272225088865,20,Revision adicional por analista; simulacion BAF
892561,6,0.35581941416261087,21,Revision adicional por analista; simulacion BAF
803200,6,0.354247840710447,22,Revision adicional por analista; simulacion BAF
814134,6,0.3490965780994994,23,Revision adicional por analista; simulacion BAF
884158,6,0.34870756312752915,24,Revision adicional por analista; simulacion BAF
902521,6,0.3472374109887195,25,Revision adicional por analista; simulacion BAF
801104,6,0.3461066862989882,26,Revision adicional por analista; simulacion BAF
811332,6,0.3419598749262271,27,Revision adicional por analista; simulacion BAF
892953,6,0.3361779832377114,28,Revision adicional por analista; simulacion BAF
811718,6,0.33489878258521216,29,Revision adicional por analista; simulacion BAF
853693,6,0.33220250120498623,30,Revision adicional por analista; simulacion BAF
877354,6,0.3297715012086721,31,Revision adicional por analista; simulacion BAF
843402,6,0.3293472422507881,32,Revision adicional por analista; simulacion BAF
848027,6,0.32061007226895444,33,Revision adicional por analista; simulacion BAF
832456,6,0.3180824239273483,34,Revision adicional por analista; simulacion BAF
837938,6,0.31706858563917495,35,Revision adicional por analista; simulacion BAF
809172,6,0.3161786036864547,36,Revision adicional por analista; simulacion BAF
795793,6,0.3155399819009875,37,Revision adicional por analista; simulacion BAF
806657,6,0.31505486741324007,38,Revision adicional por analista; simulacion BAF
818326,6,0.31393824608713095,39,Revision adicional por analista; simulacion BAF
897693,6,0.31144865543224465,40,Revision adicional por analista; simulacion BAF
819751,6,0.31036719431205484,41,Revision adicional por analista; simulacion BAF
894982,6,0.30929456412046774,42,Revision adicional por analista; simulacion BAF
868480,6,0.308795033873143,43,Revision adicional por analista; simulacion BAF
854644,6,0.3065741102827168,44,Revision adicional por analista; simulacion BAF
860597,6,0.3057477197579908,45,Revision adicional por analista; simulacion BAF
856982,6,0.3035801364486746,46,Revision adicional por analista; simulacion BAF
871500,6,0.3026282591473803,47,Revision adicional por analista; simulacion BAF
804595,6,0.30164743228132346,48,Revision adicional por analista; simulacion BAF
834311,6,0.30107347505334714,49,Revision adicional por analista; simulacion BAF
851113,6,0.30060753667869294,50,Revision adicional por analista; simulacion BAF
892119,6,0.2999322072605476,51,Revision adicional por analista; simulacion BAF
800296,6,0.29953756959203653,52,Revision adicional por analista; simulacion BAF
799055,6,0.2993473747082076,53,Revision adicional por analista; simulacion BAF
897617,6,0.2983542499990177,54,Revision adicional por analista; simulacion BAF
900014,6,0.2973875076544432,55,Revision adicional por analista; simulacion BAF
813920,6,0.2951542573218586,56,Revision adicional por analista; simulacion BAF
812899,6,0.2925463840597929,57,Revision adicional por analista; simulacion BAF
875368,6,0.2909718227347347,58,Revision adicional por analista; simulacion BAF
864757,6,0.29020437413288663,59,Revision adicional por analista; simulacion BAF
866589,6,0.289584086187831,60,Revision adicional por analista; simulacion BAF
898062,6,0.288894650343164,61,Revision adicional por analista; simulacion BAF
837067,6,0.28824438439894007,62,Revision adicional por analista; simulacion BAF
851547,6,0.28788807977568875,63,Revision adicional por analista; simulacion BAF
814559,6,0.2861514210942278,64,Revision adicional por analista; simulacion BAF
828213,6,0.2852940978740909,65,Revision adicional por analista; simulacion BAF
838983,6,0.2851574976472125,66,Revision adicional por analista; simulacion BAF
891635,6,0.28338858789570087,67,Revision adicional por analista; simulacion BAF
843778,6,0.28177328917025113,68,Revision adicional por analista; simulacion BAF
